STUDY_ID,REVIEWERS,INCLUDE,PMID,Title,Authors,Citation,First.Author,Journal.Book,Publication.Year,Create.Date,PMCID,NIHMS.ID,DOI
71,Jonny,NO,25605919,Dynamics of a morbillivirus at the domestic-wildlife interface: Canine distemper virus in domestic dogs and lions,"Viana M, Cleaveland S, Matthiopoulos J, Halliday J, Packer C, Craft ME, Hampson K, Czupryna A, Dobson AP, Dubovi EJ, Ernest E, Fyumagwa R, Hoare R, Hopcraft JG, Horton DL, Kaare MT, Kanellos T, Lankester F, Mentzel C, Mlengeya T, Mzimbiri I, Takahashi E, Willett B, Haydon DT, Lembo T.",Proc Natl Acad Sci U S A. 2015 Feb 3;112(5):1464-9. doi: 10.1073/pnas.1411623112. Epub 2015 Jan 20.,Viana M,Proc Natl Acad Sci U S A,2015,22/01/2015,PMC4321234,,10.1073/pnas.1411623112
74,Jonny,maybe,26811239,"Genetic variations in regions of bovine and bovine-like enteroviral 5'UTR from cattle, Indian bison and goat feces","Kosoltanapiwat N, Yindee M, Chavez IF, Leaungwutiwong P, Adisakwattana P, Singhasivanon P, Thawornkuno C, Thippornchai N, Rungruengkitkun A, Soontorn J, Pearsiriwuttipong S.",Virol J. 2016 Jan 25;13:13. doi: 10.1186/s12985-016-0468-8.,Kosoltanapiwat N,Virol J,2016,27/01/2016,PMC4727389,,10.1186/s12985-016-0468-8
75,Jonny,maybe,26741652,Seroepidemiological Studies of Crimean-Congo Hemorrhagic Fever Virus in Domestic and Wild Animals,"Spengler JR, Bergeron É, Rollin PE.",PLoS Negl Trop Dis. 2016 Jan 7;10(1):e0004210. doi: 10.1371/journal.pntd.0004210. eCollection 2016 Jan.,Spengler JR,PLoS Negl Trop Dis,2016,08/01/2016,PMC4704823,,10.1371/journal.pntd.0004210
80,Jonny,maybe,26190581,Experimental Evaluation of Faecal Escherichia coli and Hepatitis E Virus as Biological Indicators of Contacts Between Domestic Pigs and Eurasian Wild Boar,"Barth S, Geue L, Hinsching A, Jenckel M, Schlosser J, Eiden M, Pietschmann J, Menge C, Beer M, Groschup M, Jori F, Etter E, Blome S.",Transbound Emerg Dis. 2017 Apr;64(2):487-494. doi: 10.1111/tbed.12389. Epub 2015 Jul 19.,Barth S,Transbound Emerg Dis,2017,21/07/2015,,,10.1111/tbed.12389
99,Jonny,NO,30226803,Isolation of Rabies Virus from the Salivary Glands of Wild and Domestic Carnivores during a Skunk Rabies Epizootic,"Jimenez I, Spraker T, Anderson J, Bowen R, Gilbert A.",J Wildl Dis. 2019 Apr;55(2):473-476. doi: 10.7589/2018-05-127. Epub 2018 Sep 18.,Jimenez I,J Wildl Dis,2019,19/09/2018,,,10.7589/2018-05-127
102,Jonny,maybe,26086559,Vaccines for Prevention of Bluetongue and Epizootic Hemorrhagic Disease in Livestock: A North American Perspective,"McVey DS, MacLachlan NJ.",Vector Borne Zoonotic Dis. 2015 Jun;15(6):385-96. doi: 10.1089/vbz.2014.1698.,McVey DS,Vector Borne Zoonotic Dis,2015,19/06/2015,,,10.1089/vbz.2014.1698
106,Jonny,NO,27469023,Exposure of Free-Ranging Wild Carnivores and Domestic Dogs to Canine Distemper Virus and Parvovirus in the Cerrado of Central Brazil,"Furtado MM, Hayashi EM, Allendorf SD, Coelho CJ, de Almeida Jácomo AT, Megid J, Ramos Filho JD, Silveira L, Tôrres NM, Ferreira Neto JS.",Ecohealth. 2016 Sep;13(3):549-557. doi: 10.1007/s10393-016-1146-4. Epub 2016 Jul 28.,Furtado MM,Ecohealth,2016,30/07/2016,,,10.1007/s10393-016-1146-4
110,Jonny,maybe,26738942,Post-entry blockade of small ruminant lentiviruses by wild ruminants,"Sanjosé L, Crespo H, Blatti-Cardinaux L, Glaria I, Martínez-Carrasco C, Berriatua E, Amorena B, De Andrés D, Bertoni G, Reina R.",Vet Res. 2016 Jan 6;47:1. doi: 10.1186/s13567-015-0288-7.,Sanjosé L,Vet Res,2016,08/01/2016,PMC4702310,,10.1186/s13567-015-0288-7
113,Jonny,maybe,30540543,"Spatial Patterns and Risk Factors of Bluetongue Virus Infection in Inner Mongolia, China","Ma J, Gao X, Liu B, Xiao J, Chen H, Wang H.",Vector Borne Zoonotic Dis. 2019 Jul;19(7):525-532. doi: 10.1089/vbz.2018.2361. Epub 2018 Dec 12.,Ma J,Vector Borne Zoonotic Dis,2019,13/12/2018,,,10.1089/vbz.2018.2361
114,Jonny,maybe,23881276,Small ruminant lentiviruses (SRLVs) break the species barrier to acquire new host range,"Minardi da Cruz JC, Singh DK, Lamara A, Chebloune Y.",Viruses. 2013 Jul 23;5(7):1867-84. doi: 10.3390/v5071867.,Minardi da Cruz JC,Viruses,2013,25/07/2013,PMC3738966,,10.3390/v5071867
117,Jonny,YES,24394295,The role of wildlife in bluetongue virus maintenance in Europe: lessons learned after the natural infection in Spain,"Ruiz-Fons F, Sánchez-Matamoros A, Gortázar C, Sánchez-Vizcaíno JM.",Virus Res. 2014 Mar;182:50-8. doi: 10.1016/j.virusres.2013.12.031. Epub 2014 Jan 3.,Ruiz-Fons F,Virus Res,2014,08/01/2014,,,10.1016/j.virusres.2013.12.031
122,Jonny,YES,24739536,Characteristics of Foot-and-Mouth Disease Viral Strains Circulating at the Wildlife/livestock Interface of the Great Limpopo Transfrontier Conservation Area,"Jori F, Caron A, Thompson PN, Dwarka R, Foggin C, de Garine-Wichatitsky M, Hofmeyr M, Van Heerden J, Heath L.",Transbound Emerg Dis. 2016 Feb;63(1):e58-70. doi: 10.1111/tbed.12231. Epub 2014 Apr 17.,Jori F,Transbound Emerg Dis,2016,18/04/2014,,,10.1111/tbed.12231
126,Jonny,maybe,22493123,"A serosurvey for Brucella suis, classical swine fever virus, porcine circovirus type 2, and pseudorabies virus in feral swine (Sus scrofa) of eastern North Carolina","Sandfoss MR, DePerno CS, Betsill CW, Palamar MB, Erickson G, Kennedy-Stoskopf S.",J Wildl Dis. 2012 Apr;48(2):462-6. doi: 10.7589/0090-3558-48.2.462.,Sandfoss MR,J Wildl Dis,2012,12/04/2012,,,10.7589/0090-3558-48.2.462
128,Jonny,maybe,24315041,Sheep persistently infected with Border disease readily transmit virus to calves seronegative to BVD virus,"Braun U, Reichle SF, Reichert C, Hässig M, Stalder HP, Bachofen C, Peterhans E.",Vet Microbiol. 2014 Jan 10;168(1):98-104. doi: 10.1016/j.vetmic.2013.11.004. Epub 2013 Nov 15.,Braun U,Vet Microbiol,2014,10/12/2013,,,10.1016/j.vetmic.2013.11.004
132,Jonny,maybe,31228086,Risk factors associated with Mycoplasma capricolum subspecies capripneumoniae and morbillivirus infection in small ruminants in Tanzania,"Chota A, Shirima G, Kusiluka L.",Trop Anim Health Prod. 2019 Sep;51(7):1807-1815. doi: 10.1007/s11250-019-01981-4. Epub 2019 Jun 21.,Chota A,Trop Anim Health Prod,2019,23/06/2019,,,10.1007/s11250-019-01981-4
134,Jonny,maybe,30406333,"The first report on serotyping of bluetongue virus in small ruminants of Khyber Pakhtunkhwa province, Pakistan","Malik AI, Ijaz M, Yaqub T, Shabir MZ, Avais M, Ghaffar A, Ali A, Farooqi SH, Mehmood K.",Trop Anim Health Prod. 2019 May;51(4):977-982. doi: 10.1007/s11250-018-1739-8. Epub 2018 Nov 7.,Malik AI,Trop Anim Health Prod,2019,09/11/2018,,,10.1007/s11250-018-1739-8
146,Jonny,YES,23958658,Evidence of natural transmission of group A rotavirus between domestic pigs and wild boars (Sus scrofa) in Japan,"Okadera K, Abe M, Ito N, Morikawa S, Yamasaki A, Masatani T, Nakagawa K, Yamaoka S, Sugiyama M.",Infect Genet Evol. 2013 Dec;20:54-60. doi: 10.1016/j.meegid.2013.07.029. Epub 2013 Aug 16.,Okadera K,Infect Genet Evol,2013,21/08/2013,,,10.1016/j.meegid.2013.07.029
152,Jonny,YES,25421429,Natural and experimental hepatitis E virus genotype 3-infection in European wild boar is transmissible to domestic pigs,"Schlosser J, Eiden M, Vina-Rodriguez A, Fast C, Dremsek P, Lange E, Ulrich RG, Groschup MH.",Vet Res. 2014 Nov 26;45(1):121. doi: 10.1186/s13567-014-0121-8.,Schlosser J,Vet Res,2014,26/11/2014,PMC4243386,,10.1186/s13567-014-0121-8
159,Jonny,YES,29482645,Prevalence of hepatitis E virus infection in wild boars from Spain: a possible seasonal pattern?,"Rivero-Juarez A, Risalde MA, Frias M, García-Bocanegra I, Lopez-Lopez P, Cano-Terriza D, Camacho A, Jimenez-Ruiz S, Gomez-Villamandos JC, Rivero A.",BMC Vet Res. 2018 Feb 27;14(1):54. doi: 10.1186/s12917-018-1377-4.,Rivero-Juarez A,BMC Vet Res,2018,28/02/2018,PMC5828074,,10.1186/s12917-018-1377-4
160,Jonny,maybe,23226216,Reconstruction of the transmission history of RNA virus outbreaks using full genome sequences: foot-and-mouth disease virus in Bulgaria in 2011,"Valdazo-González B, Polihronova L, Alexandrov T, Normann P, Knowles NJ, Hammond JM, Georgiev GK, Özyörük F, Sumption KJ, Belsham GJ, King DP.",PLoS One. 2012;7(11):e49650. doi: 10.1371/journal.pone.0049650. Epub 2012 Nov 30.,Valdazo-González B,PLoS One,2012,11/12/2012,PMC3511503,,10.1371/journal.pone.0049650
173,Jonny,maybe,19900768,Subclinical bluetongue virus infection in domestic ruminants in Taiwan,"Lee F, Ting LJ, Jong MH, Chang WM, Wang FI.",Vet Microbiol. 2010 May 19;142(3-4):225-31. doi: 10.1016/j.vetmic.2009.10.005. Epub 2009 Oct 23.,Lee F,Vet Microbiol,2010,11/11/2009,,,10.1016/j.vetmic.2009.10.005
180,Jonny,maybe,18279085,"Evaluation of pathways for release of Rift Valley fever virus into domestic ruminant livestock, ruminant wildlife, and human populations in the continental United States","Kasari TR, Carr DA, Lynn TV, Weaver JT.",J Am Vet Med Assoc. 2008 Feb 15;232(4):514-29. doi: 10.2460/javma.232.4.514.,Kasari TR,J Am Vet Med Assoc,2008,19/02/2008,,,10.2460/javma.232.4.514
185,Jonny,maybe,23675891,Seroprevalence of bovine ephemeral fever virus in domesticated and wildlife species during epidemic and inter-epidemic periods (2000-2009) in Israel,"Aziz-Boaron O, Brettschneider S, King R, Gelman B, Klement E.",Transbound Emerg Dis. 2015 Apr;62(2):183-7. doi: 10.1111/tbed.12104. Epub 2013 May 16.,Aziz-Boaron O,Transbound Emerg Dis,2015,17/05/2013,,,10.1111/tbed.12104
194,Jonny,maybe,20484176,Immunohistochemical study of rabies virus within the central nervous system of domestic and wildlife species,"Stein LT, Rech RR, Harrison L, Brown CC.",Vet Pathol. 2010 Jul;47(4):630-3. doi: 10.1177/0300985810370013. Epub 2010 May 18.,Stein LT,Vet Pathol,2010,21/05/2010,,,10.1177/0300985810370013
197,Jonny,maybe,22363444,Rescue of recent virulent and avirulent field strains of bluetongue virus by reverse genetics,"van Gennip RG, van de Water SG, Potgieter CA, Wright IM, Veldman D, van Rijn PA.",PLoS One. 2012;7(2):e30540. doi: 10.1371/journal.pone.0030540. Epub 2012 Feb 17.,van Gennip RG,PLoS One,2012,25/02/2012,PMC3281837,,10.1371/journal.pone.0030540
206,Jonny,maybe,24586500,Reverse zoonotic disease transmission (zooanthroponosis): a systematic review of seldom-documented human biological threats to animals,"Messenger AM, Barnes AN, Gray GC.",PLoS One. 2014 Feb 28;9(2):e89055. doi: 10.1371/journal.pone.0089055. eCollection 2014.,Messenger AM,PLoS One,2014,04/03/2014,PMC3938448,,10.1371/journal.pone.0089055
210,Jonny,YES,23107231,Bovine viral diarrhea virus in free-ranging wild ruminants in Switzerland: low prevalence of infection despite regular interactions with domestic livestock,"Casaubon J, Vogt HR, Stalder H, Hug C, Ryser-Degiorgis MP.",BMC Vet Res. 2012 Oct 29;8:204. doi: 10.1186/1746-6148-8-204.,Casaubon J,BMC Vet Res,2012,31/10/2012,PMC3514304,,10.1186/1746-6148-8-204
218,Jonny,maybe,23082533,Detection and phylogenetic characterization of hepatitis E virus genotype 3 in a captive wild boar in Thailand,"Wiratsudakul A, Sariya L, Prompiram P, Tantawet S, Suraruangchai D, Sedwisai P, Sangkachai N, Suksai P, Ratanakorn P.",J Zoo Wildl Med. 2012 Sep;43(3):640-4. doi: 10.1638/2011-0217R1.1.,Wiratsudakul A,J Zoo Wildl Med,2012,23/10/2012,,,10.1638/2011-0217R1.1
219,Jonny,maybe,19217346,Characterization and zoonotic potential of endemic hepatitis E virus (HEV) strains in humans and animals in Hungary,"Reuter G, Fodor D, Forgách P, Kátai A, Szucs G.",J Clin Virol. 2009 Apr;44(4):277-81. doi: 10.1016/j.jcv.2009.01.008. Epub 2009 Feb 12.,Reuter G,J Clin Virol,2009,17/02/2009,,,10.1016/j.jcv.2009.01.008
223,Jonny,maybe,26974177,Serosurvey of peste des petits ruminants virus in small ruminants from different agro-ecological zones of Nigeria,"Woma TY, Ekong PS, Bwala DG, Ibu JO, Ta'ama L, Dyek DY, Saleh L, Shamaki D, Kalla DJ, Bailey D, Kazeem HM, Quan M.",Onderstepoort J Vet Res. 2016 Mar 11;83(1):1035. doi: 10.4102/ojvr.v83i1.1035.,Woma TY,Onderstepoort J Vet Res,2016,15/03/2016,PMC6324250,,10.4102/ojvr.v83i1.1035
230,Jonny,maybe,23033405,Detection of eastern equine encephalomyelitis virus RNA in North American snakes,"Bingham AM, Graham SP, Burkett-Cadena ND, White GS, Hassan HK, Unnasch TR.",Am J Trop Med Hyg. 2012 Dec;87(6):1140-4. doi: 10.4269/ajtmh.2012.12-0257. Epub 2012 Oct 1.,Bingham AM,Am J Trop Med Hyg,2012,04/10/2012,PMC3516089,,10.4269/ajtmh.2012.12-0257
232,Jonny,maybe,12523685,Review of the status and control of foot and mouth disease in sub-Saharan Africa,"Vosloo W, Bastos AD, Sangare O, Hargreaves SK, Thomson GR.",Rev Sci Tech. 2002 Dec;21(3):437-49. doi: 10.20506/rst.21.3.1349.,Vosloo W,Rev Sci Tech,2002,14/01/2003,,,10.20506/rst.21.3.1349
235,Jonny,YES,17988425,Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife,"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Epidemiol Infect. 2008 Sep;136(9):1261-9. doi: 10.1017/S0950268807009806. Epub 2007 Nov 8.,Evans A,Epidemiol Infect,2008,09/11/2007,PMC2870911,,10.1017/S0950268807009806
237,Jonny,maybe,22361000,Disease severity declines over time after a wild boar population has been affected by classical swine fever--legend or actual epidemiological process?,"Lange M, Kramer-Schadt S, Blome S, Beer M, Thulke HH.",Prev Vet Med. 2012 Sep 15;106(2):185-95. doi: 10.1016/j.prevetmed.2012.01.024. Epub 2012 Feb 22.,Lange M,Prev Vet Med,2012,25/02/2012,,,10.1016/j.prevetmed.2012.01.024
238,Jonny,maybe,25704390,"Epidemiology of Foot and Mouth Disease in Ethiopia: a Retrospective Analysis of District Level Outbreaks, 2007-2012","Jemberu WT, Mourits MC, Sahle M, Siraw B, Vernooij JC, Hogeveen H.",Transbound Emerg Dis. 2016 Dec;63(6):e246-e259. doi: 10.1111/tbed.12338. Epub 2015 Feb 19.,Jemberu WT,Transbound Emerg Dis,2016,24/02/2015,,,10.1111/tbed.12338
239,Jonny,maybe,10582096,Rinderpest: the disease and its impact on humans and animals,"Barrett T, Rossiter PB.",Adv Virus Res. 1999;53:89-110. doi: 10.1016/s0065-3527(08)60344-9.,Barrett T,Adv Virus Res,1999,03/12/1999,,,10.1016/s0065-3527(08)60344-9
241,Jonny,YES,24274684,Peste des petits ruminants infection among cattle and wildlife in northern Tanzania,"Lembo T, Oura C, Parida S, Hoare R, Frost L, Fyumagwa R, Kivaria F, Chubwa C, Kock R, Cleaveland S, Batten C.",Emerg Infect Dis. 2013 Dec;19(12):2037-40. doi: 10.3201/eid1912.130973.,Lembo T,Emerg Infect Dis,2013,27/11/2013,PMC3840886,,10.3201/eid1912.130973
247,Jonny,maybe,23327382,Foot-and-mouth disease virus serotypes detected in Tanzania from 2003 to 2010: conjectured status and future prospects,"Kasanga CJ, Sallu R, Kivaria F, Mkama M, Masambu J, Yongolo M, Das S, Mpelumbe-Ngeleja C, Wambura PN, King DP, Rweyemamu MM.",Onderstepoort J Vet Res. 2012 Jun 20;79(2):462. doi: 10.4102/ojvr.v79i2.462.,Kasanga CJ,Onderstepoort J Vet Res,2012,19/01/2013,,,10.4102/ojvr.v79i2.462
249,Jonny,maybe,17848065,Emergence of lyssaviruses in the Old World: the case of Africa,"Nel LH, Rupprecht CE.",Curr Top Microbiol Immunol. 2007;315:161-93. doi: 10.1007/978-3-540-70962-6_8.,Nel LH,Curr Top Microbiol Immunol,2007,13/09/2007,,,10.1007/978-3-540-70962-6_8
250,Jonny,maybe,18511217,Henipaviruses: a new family of emerging Paramyxoviruses,Wild TF.,Pathol Biol (Paris). 2009 Mar;57(2):188-96. doi: 10.1016/j.patbio.2008.04.006. Epub 2008 Jun 3.,Wild TF,Pathol Biol (Paris),2009,31/05/2008,,,10.1016/j.patbio.2008.04.006
252,Jonny,YES,16551482,Re-infection of wildlife populations with rinderpest virus on the periphery of the Somali ecosystem in East Africa,"Kock RA, Wamwayi HM, Rossiter PB, Libeau G, Wambwa E, Okori J, Shiferaw FS, Mlengeya TD.",Prev Vet Med. 2006 Jul 17;75(1-2):63-80. doi: 10.1016/j.prevetmed.2006.01.016. Epub 2006 Mar 23.,Kock RA,Prev Vet Med,2006,23/03/2006,,,10.1016/j.prevetmed.2006.01.016
259,Jonny,YES,23830685,Surveillance of foot-and-mouth disease (FMD) in susceptible wildlife and domestic ungulates in Southeast of Bulgaria following a FMD case in wild boar,"Alexandrov T, Stefanov D, Kamenov P, Miteva A, Khomenko S, Sumption K, Meyer-Gerbaulet H, Depner K.",Vet Microbiol. 2013 Sep 27;166(1-2):84-90. doi: 10.1016/j.vetmic.2013.05.016. Epub 2013 Jun 14.,Alexandrov T,Vet Microbiol,2013,09/07/2013,,,10.1016/j.vetmic.2013.05.016
263,Jonny,YES,15861873,An investigation into the source and spread of foot and mouth disease virus from a wildlife conservancy in Zimbabwe,"Hargreaves SK, Foggin CM, Anderson EC, Bastos AD, Thomson GR, Ferris NP, Knowles NJ.",Rev Sci Tech. 2004 Dec;23(3):783-90. doi: 10.20506/rst.23.3.1519.,Hargreaves SK,Rev Sci Tech,2004,03/05/2005,,,10.20506/rst.23.3.1519
266,Jonny,maybe,23208877,"An epizootic of eastern equine encephalitis virus, Maine, USA in 2009: outbreak description and entomological studies","Lubelczyk C, Mutebi JP, Robinson S, Elias SP, Smith LB, Juris SA, Foss K, Lichtenwalner A, Shively KJ, Hoenig DE, Webber L, Sears S, Smith RP Jr.",Am J Trop Med Hyg. 2013 Jan;88(1):95-102. doi: 10.4269/ajtmh.2012.11-0358. Epub 2012 Dec 3.,Lubelczyk C,Am J Trop Med Hyg,2013,05/12/2012,PMC3541751,,10.4269/ajtmh.2012.11-0358
275,Jonny,NO,21856028,The effect of neighbourhood definitions on spatio-temporal models of disease outbreaks: Separation distance versus range overlap,"Laffan SW, Wang Z, Ward MP.",Prev Vet Med. 2011 Dec 1;102(3):218-29. doi: 10.1016/j.prevetmed.2011.07.009.,Laffan SW,Prev Vet Med,2011,23/08/2011,,,10.1016/j.prevetmed.2011.07.009
282,Jonny,YES,24847903,Rabies in Europe: what are the risks?,"Cliquet F, Picard-Meyer E, Robardet E.",Expert Rev Anti Infect Ther. 2014 Aug;12(8):905-8. doi: 10.1586/14787210.2014.921570. Epub 2014 May 22.,Cliquet F,Expert Rev Anti Infect Ther,2014,23/05/2014,,,10.1586/14787210.2014.921570
293,Jonny,YES,22247377,Porcine reproductive and respiratory syndrome virus and porcine circovirus type 2 infections in wild boar (Sus scrofa) in southwestern Germany,"Hammer R, Ritzmann M, Palzer A, Lang C, Hammer B, Pesch S, Ladinig A.",J Wildl Dis. 2012 Jan;48(1):87-94. doi: 10.7589/0090-3558-48.1.87.,Hammer R,J Wildl Dis,2012,17/01/2012,,,10.7589/0090-3558-48.1.87
296,Jonny,YES,21724765,Peste des petits ruminants: a suitable candidate for eradication?,"Baron MD, Parida S, Oura CA.",Vet Rec. 2011 Jul 2;169(1):16-21. doi: 10.1136/vr.d3947.,Baron MD,Vet Rec,2011,05/07/2011,,,10.1136/vr.d3947
