Virus,,,,,,,,,,Ecology,,,,,,Basic Info,,,,,,Pathogenesis,,,,,,,,,,,,,,,Extrinsic Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case report,,,,,,,,,,,,,,
Virus_Name,Order,Family,Genus,Zoonotic,sOrigin,Spillover Direction,Host Species,Spillover Species,WildDomCap,Transmission_Mode,Transmission_Route,Shedding_Route,Vector,Host,Host_Range,DNAorRNA,Stranded,Virus diameter (nm),Envelope,Segmented,GenomeAveLenght (bp),Replication_Site,Attachment_Site,Spread_Mechanism,Entry_Mechanism,Cell_Receptor,Receptor_Distribution,Shedding_Period,Shedding_Length,Mortality_Rate,Viraemia,Cell_Tropism ,Systems/organs affected,Incubation Period,Reference,Reference,unclear,change in host distribution,change in host abundance,reservoir epidemic,change in vector distribution,change in vector abundance,change in vector control,introduced/invasive species,human-animal contact,livestock- and domestic-wildlife interface,encroachment,hunting,provisioning,local livestock production,industrial livestock production,agricultural activity,aquaculture,wetland cultivation,deforestation,reforestation,logging,mining,irrigation,dam building,human demographic change,human population density,urbanization,climate change,food contamination,water contamination,soil contamination,Vehicle contamination,sewage management,road building,international movement of animal,intranational movement of animals,socioeconomic change,cultural/religious beliefs or practices,public health infrastructure,vaccination breakdown,ineffective vaccine,Incomplete vaccination coverage ,immunosuppression,co-infection,war/conflict,famine,malnourishment,natural disasters,weather conditions,Reference_DOI,First.Author,Publication.Year,Notes,Reservoir,Occurence Date,Location,Scenario,Clin Disease ,Histopath,Fatalities,Seroprevalence,N of cases/positive samples,%Seropositive,Serotype/Strains,Transmission,Other,Type of study,Case_Reference
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,,W-D,Wild boars,Domestic pigs,Domestic,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(01)00424-2,Biagetti M,2001,Tuscany: 10 years of Southern outbreak (1985/6-1990/11); Northern outbreak (1992/4-8) aka outbreak of Massa (1992); genotype 2.2,,1985-1990; 1992,"Tuscany, Italy",Both CSF domestic pigs and wild boar were detected,,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,,D-W,Domestic pigs,Wild boars,Wild,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(01)00424-2,Biagetti M,2001,"Varese 97: outbreak was due to swill feeding, CSF in both domestic pigs and wild boars; endemic in wild boars; genotype 2.2;    Food contaminant & swill feeding: contaminated swill feeding??",Wild boars,1997,"Varese, Lombardy,  Italy ",CSF in domestic pigs and wild boars,,,,,,,,,,,
"Epizootic
hemorrhagic disease virus",Reovirales,Reoviridae,Orbivirus,0,"Australia, US (Reassortment)",,domestic and wild ruminants,White-tailed deer,"Free-ranging, Captive",Indirect (direct contact may play a small role),Culicoides vectors (fecal-oral),,Y,"Domestic (cattle, yaks, captive American bison, alpaca, and captive pygmy brocket deer) and wild ruminants (WTD, mule deer, pronghorn, elk, mountain goat, and bighorn sheep)",Narrow (ruminants),RNA,DS,85,non-enveloped,TRUE,19200,,,,"clathrin-dependent, receptor-mediated
endocytosis", Cell membrane glycoproteins,,,,,Days to weeks,,,,https://www.liebertpub.com/doi/full/10.1089/vbz.2014.1703?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1099/vir.0.015651-0,Allison AB,2010,Not sure if this one counts spillover (oops),,,," EHDV-6 (Indiana) was isolated from 12 individual
white-tailed deer on eight occasions during 2006–2008",,,,,,,,,,,
"Epizootic
hemorrhagic disease virus",Reovirales,Reoviridae,Orbivirus,0,US,"D-W, W-W? (is wild specieas in captive still considered as wildlife?)","cattle, bison, elk, goats",White-tailed deer,Captive,Indirect (direct contact may play a small role),Culicoides vectors (fecal-oral),,Y,"Domestic (cattle, yaks, captive American bison, alpaca, and captive pygmy brocket deer) and wild ruminants (WTD, mule deer, pronghorn, elk, mountain goat, and bighorn sheep)",Narrow (ruminants),RNA,DS,85,non-enveloped,TRUE,19200,,,,"clathrin-dependent, receptor-mediated
endocytosis", Cell membrane glycoproteins,,,,,Days to weeks,,,,https://www.liebertpub.com/doi/full/10.1089/vbz.2014.1703?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Fenner's Veterinary Virology,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10.1638/2009-0216.1,Nol P,2010,"Species held in this facility at the
time of the 2007 outbreak included white-tailed deer, elk, bison, cattle, and goats;   Maybe co-infection? No Clostridium spp. isolated from fecal sample, but obtained
a weak positive for Clostridium perfringens toxin; happened in research facility - public health infrastructure",,2007,"Colorado, USA",ungulate research facility,,,,,,,,,,,
"Epizootic
hemorrhagic disease virus",Reovirales,Reoviridae,Orbivirus,0,US,W-D,White-tailed deer,Cattle,Domestic,Indirect (direct contact may play a small role),Culicoides vectors (fecal-oral),,Y,"Domestic (cattle, yaks, captive American bison, alpaca, and captive pygmy brocket deer) and wild ruminants (WTD, mule deer, pronghorn, elk, mountain goat, and bighorn sheep)",Narrow (ruminants),RNA,DS,85,non-enveloped,TRUE,19200,,,,"clathrin-dependent, receptor-mediated
endocytosis", Cell membrane glycoproteins,,,,,Days to weeks,,,,https://www.liebertpub.com/doi/full/10.1089/vbz.2014.1703?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Fenner's Veterinary Virology,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.1099/jgv.0.001221,Schirtzinger EE,2019,cattle becoming clinically ill;    host& vector distribution: gathered at water source? Climate change vs weather conditions,,,,,,,,,,,,,,,
Bluetongue virus,Reovirales,Reoviridae,Orbivirus,0,"USA, central America,  Trinidad and Tobago and Martinique",?,"? Domestic ruminants, wild ruminants","Brazilian dwarf
brocket deer (Mazama nana)","wild, captive",Indirect contact,"Vector biting, ingestion of virus-contaminated colostrum",,Y,"sheep, cattle, goats, camelids, wild ruminants (deer, white-tailed deer, pronghorn antelope),  carnivores (Eurasian lynx, lion, leopard, dogs)","Narrow (sheep, other ruminants, carnivores)",RNA,DS,85,non-enveloped,TRUE,19200,Local lymph node,,"macrophages, dendritic cells, and vascular endothelium in lungs, lymph nodes,
and spleen; blood cells","clathrin-dependent, receptor-mediated
endocytosis", Cell membrane glycoproteins,,Less than 60 d,,highly variable,,"macrophages, dendritic cells, and vascular endothelium; platelets and red blood cells","GI mucosa, lung, spleen, lymph nodes, heart, skeletal muscles",,,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.vetmic.2018.10.018,Baldini MHM,2018,"The virus is widespread in Brazil with a seroprevalence higher than
50% in several regions in domestic species. The co-circulation of various BTV strains within the same animal population enhances the possibility of viral reassortment and occurrence of novel serotypes with unknown phenotypic and pathogenic characteristics.",,2015-2016,"Bela Vista Biological Sanctuary, Brazil","five BTV serotypes (3, 14, 18, 19, and 22) were identified. These BTV serotypes had not been previously
described or isolated in Brazil, either in wild or domestic ruminants",,,,,,,,,,,
Bluetongue virus,Reovirales,Reoviridae,Orbivirus,0,BTV-8,D-W,Domestic ruminants,"Roe deer, red deer",Wild,Indirect contact,"Vector biting, ingestion of virus-contaminated colostrum",,Y,"sheep, cattle, goats, camelids, wild ruminants (deer, white-tailed deer, pronghorn antelope),  carnivores (Eurasian lynx, lion, leopard, dogs)","Narrow (sheep, other ruminants, carnivores)",RNA,DS,85,non-enveloped,TRUE,19200,Local lymph node,,"macrophages, dendritic cells, and vascular endothelium in lungs, lymph nodes,
and spleen; blood cells","clathrin-dependent, receptor-mediated
endocytosis", Cell membrane glycoproteins,,Less than 60 d,,highly variable,,"macrophages, dendritic cells, and vascular endothelium; platelets and red blood cells","GI mucosa, lung, spleen, lymph nodes, heart, skeletal muscles",,,Fenner's Veterinary Virology,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1186/1746-6148-9-166,Casaubon J,2013,"wild ruminants are apparently not a reservoir for these viruses in Switzerland; although live in the same habitat, red deer are more susceptible to infection than roe deer (or due to BTV-8 vector preference)",," 2009, 2011",Switzerland,,,,,,,,,,,,
Bluetongue virus,Reovirales,Reoviridae,Orbivirus,0,BTV-8,D-W,Domestic ruminants,Alpine chamois,Wild,Indirect contact,"Vector biting, ingestion of virus-contaminated colostrum",,Y,"sheep, cattle, goats, camelids, wild ruminants (deer, white-tailed deer, pronghorn antelope),  carnivores (Eurasian lynx, lion, leopard, dogs)","Narrow (sheep, other ruminants, carnivores)",RNA,DS,85,non-enveloped,TRUE,19200,Local lymph node,,"macrophages, dendritic cells, and vascular endothelium in lungs, lymph nodes,
and spleen; blood cells","clathrin-dependent, receptor-mediated
endocytosis", Cell membrane glycoproteins,,Less than 60 d,,highly variable,,"macrophages, dendritic cells, and vascular endothelium; platelets and red blood cells","GI mucosa, lung, spleen, lymph nodes, heart, skeletal muscles",,,Fenner's Veterinary Virology,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1186/1746-6148-9-166,Casaubon J,2013,"this animal was found at high altitude and far from a domestic outbreak,
which suggests that the virus could spread into/through the Alps; ?        Change in vector distribution: Different species
of Culicoides midges have been detected up to 2,100 m a.s.l. in the Swiss Alps)",," 2009, 2011",Switzerland,"we found a chamois positive by real-time RTPCR, originating from an Alpine valley (Engadin, canton
of Graubünden), which was sampled above 2,000 m a.s.l. This is the first report of BTV-8 RNA in an Alpine caprid",,,,,,,,,,,
African horse sickness virus,"Reovirales
",Reoviridae,Orbivirus,1,,D-W,Horse,Zebra and elephants,Wild,Indirect contact,Vector biting,,Y,"Horses, donkeys, mules, zebras",Narrow,RNA,DS,85,non-enveloped,TRUE,19200,Local lymph node,,Other tissues and organs,,,,,,"variable, up to 95%",,,"lungs, trachea, bronchi, and bronchioles, lymphoid, heart",3–5 d (pulmonary form),,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/0378-1135(92)90137-i,Binepal VS,1992,,,,Kenya,"Antibody was found amongst the horse, zebra and elephant sera to all nine different strains. ",,,,,,,,,,,
 Rotavirus A,Reoviridae,Reoviridae,Rotavirus,1,"wild boar RVA strain together with human RVA
strains isolated in Hungary and Belgium ",D-W,Domestic pigs,Wild boars,Wild,Indirect contact,"Fecal–oral route, contaminated  rearing pens or water",Feces,N,"humans, cattle, swine, horses, gallinaceous
poultry, laboratory mice",Broad (neonates),RNA,DS,85,non-enveloped,TRUE,18562,,,,"receptor-dependent endocytosis, or direct penetration","Various integrins,  sialic acid residues",,,,,,,,1–24hours,,Fenner's Veterinary Virology,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,10.1016/j.vetmic.2016.08.003,Moutelíková R,2016,"RVA strains isolated from wild boars were genetically described and close relationship with human and
domestic pig RVA strains was found so the transmission of RVA between wild boars and humans or between domestic pigs and humans and subsequently between domestic pigs and wild boars is highly probable;     natural disaster: confluence is regularly flooded which forces increased
migration of wildlife animals??",,October 2014 - January 2015,"South Moravia, Czech Republic",,,,,,,,,,,,
Mammalian orthoreovirus 3 ,Reovirales,Reoviridae,Orthoreovirus,0,Italy,"W-W, D-W?","Dog, bat, pig, human",Alpine chamois,Wild,Indirect contact,Fecal–oral route,Feces,N,Mammals,Broad,RNA,DS,85,non-enveloped,TRUE,23540,,,,receptor-mediated endocytosis,"Junctional adhesion molecule A, sialylated glycoproteins",,,,,,,,,,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.vetmic.2019.01.012,Besozzi M,2019,,,2008-2012,"Verbano Cusio-Ossola, north-western Italian Alps",,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,,W-D,fox,"domestic dog; livestock (cattle, donkeys)",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.4314/ejhs.v28i6.16,Balako G,2018," rabid wild fox entered the pastoralist
village and bit a domestic dog. The victim dog had turned rabid
after four months and bit livestock, and rabies outbreak occurred
in the family livestock —— does this one count?       (introduced/invasive species: fox)",,Sept 2015 -2016,"Oromia, Ethiopia","In September 2015, rabid wild fox entered the pastoralist
village and bit a domestic dog. The victim dog had turned rabid
after four months and bit livestock, and rabies outbreak occurred
in the family livestock. Consequently, one bull, one lactating cow,
one calf, two donkeys and one heifer died of outbreak; After five months, one
heifer and a donkey from a neighbor became rabid
and died after a week of clinical signs. ","in cattle: excessive salivation, behavioral
change, yawning, abnormal bellowing, pica in one
case (biting wooden material), a lactating cow
refused calf to suckle. In donkey: aggressiveness,
kicking, attempt to bite other animals, biting its
own body (one case) to the level of inflicting
itself.",,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,"Izmir, Turkey",W-D,"Foxes, dogs",Cattle,Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.1017/S0950268805005017,Johnson N,2006,"One possible explanation
could be the spillover from dogs into the fox during the late 1990s - host switch (control measures aimed at reducing and/or eliminating rabies may have an unexpected consequence in that it appears to increase the chance of host-switching events)",,1999-2003,"Aegean, Turkey",,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,Dog-hosted China I,W-D,Stray dogs,"Dairy cattle, camel",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.1371/journal.pntd.0004890,Liu Y,2016,"following the implementation of the National Great Western Development and Strategy and projects relating to the conversion of degraded farmland into forests and grasslands, the recovery of the natural, social and economic environments have resulted in a significant increase in animal and human populations.",,2015,"Ningxia and Inner Mongolia, China",,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,"fox-associated China III lineages, Mongolia",W-D,Foxes,"Beef cattle, camel",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.1371/journal.pntd.0004890,Liu Y,2016,"following the implementation of the National Great Western Development and Strategy and projects relating to the conversion of degraded farmland into forests and grasslands, the recovery of the natural, social and economic environments have resulted in a significant increase in animal and human populations.",,2013–2014,"Xinjiang and Inner Mongolia, China",,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,the Arctic strains,W-D,Raccoon dogs (Nyctereutes procyonoides koreensis),"Cattle, dogs",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.virusres.2005.06.004,Hyun BH,2005,,Raccoon dogs, 1998 - 2004,Korean,,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,"AgV3 and AgV11, related to the vampire bat ",W-D,"? (Desmodus rotundus, vampire bats)","cattle, horse",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4269/ajtmh.1999.61.587,De Mattos CC,1999,"sylvatic rabies cycles: It is not known how changes in vampire bat populations precipitate new outbreaks, how one outbreak is related to others in a region, or how a new variant appears in an area.", D. rotundus, 1990 -1995 ,Mexico,,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,Europe,W-D,"Fox, raccoon dogs, Marten, Wolf,
polecat, badger, Elk, roe deer","cattle, sheep, goats, horse, pigs",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(02)00346-2,Zienius D,2003,"More rabies cases were reported in the North and North-Western regions
of the country. This could be explained by the fact that this territory is densely covered with forests and rich biotypes favourable to natural wildlife vectors.","Red foxes, raccoon dogs",1990–2000,Lithuania,,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,,W-D,"? (Desmodus rotundus, vampire bats)",cattle,Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0188-0128(98)00019-0,Loza-Rubio E,1999,the aerial cycle: the vampire bat Desmodus rotundus is representative in Mexico; This bat is the major sylvatic rabies vector transmitting rabies to cattle; overlaps with terrestrial cycle ,Vampire bats,,Mexico,,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,,W-D,"raccoon, skunk, fox","cow, horse",Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMCID: PMC268974,Smith JS,1986,,,1982-1985,"Virginia, Maryland, New Mexico, Texas, US",,,,,,,,,,,,
Rabies virus,Mononegavirales,Rhabdoviridae,Lyssavirus,1,,W-D,? (Brazilian free-tailed bat),Cow,Domestic,Direct contact,Bite wound,Saliva,N,Carnivora and Microchiroptera,Broad (mammals),RNA,SS,75,enveloped,FALSE,11932,Striated or connective tissue at the inoculation site,Endoneurium of Schwann cells,transynaptic spread,Clathrin-mediated endocytosis,"nAchR
 NCAM
p75NTR
mGluR2",CNS,-,Intermittent,~100%,n,Neurons,CNS,20-60d,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7589/0090-3558-36.2.231,de Mattos CA,2000,Brazilian free-tailed bat: the reservoir; the abundance and close contact with humans and domestic animals; wide distribution; seasonal migration,Brazilian free-tailed bat,"1977, 1987",Chile,,,,,,,,,,,,
Bovine viral diarrhea virus 1,Amarillovirales,Flaviviridae,Pestivirus,0,,D-W,Cattle,Mule deer,Wild,"Indirect contact (rarely direct), vertical","respiratory route, contaminated feed and fomites (urine, oral and nasal
secretions, feces, or amniotic fluid); transplacental","saliva and droplets, urine, feces, or amniotic fluid",N,"Domestic ruminants (cattle, sheep, and goats), wild ruminants (New World camelids, deer, bison, and other domestic and
wild ungulates), swine
","Narrow (ruminants, swine)",RNA,SS,40-60,enveloped,FALSE,12573,"Nasal mucosa, tonsils",,"regional lymph nodes, lymphoid tissues and the intestine",recptor-mediated endocytosis,,,life-long,persistently ,,,"monocytes/macrophages, dendritic cells, and lymphocytes","gastrointestinal tract, lymphoid tissues, pulmonary, fetal CNS, blood vessel walls, integument, placenta",5–7d,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7135131/pdf/main.pdf,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1177/104063870802000521,Duncan C,2008,the identification of a naturally infected adult PI animal in the wild,, 2005-2006,"Colorado, US",A single adult male mule deer tested positive; it was shot in DAU D-2,,,,"the apparent
prevalence for that DAU was 0.52% (95% CI: 021.06%); . apparent
prevalence among all Colorado deer was 0.03%; the 95%
CI on the overall prevalence for PI deer was 020.10%",1,,,,,,
Bovine viral diarrhea virus,Amarillovirales,Flaviviridae,Pestivirus,0,,D-W?,Cattle,"White-tailed deer (Odocoileus
virginianus) ",Wild,"Indirect contact (rarely direct), vertical","respiratory route, contaminated feed and fomites (urine, oral and nasal
secretions, feces, or amniotic fluid); transplacental","saliva and droplets, urine, feces, or amniotic fluid",N,"Domestic ruminants (cattle, sheep, and goats), wild ruminants (New World camelids, deer, bison, and other domestic and
wild ungulates), swine
","Narrow (ruminants, swine)",RNA,SS,40-60,enveloped,FALSE,12573/12255,"Nasal mucosa, tonsils",,"regional lymph nodes, lymphoid tissues and the intestine",recptor-mediated endocytosis,,,life-long,persistently ,,,"monocytes/macrophages, dendritic cells, and lymphocytes","gastrointestinal tract, lymphoid tissues, pulmonary, fetal CNS, blood vessel walls, integument, placenta",5–7d,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7135131/pdf/main.pdf,Fenner's Veterinary Virology,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1177/104063870802000116,Passler T,2008,"the identification of a naturally infected PI WTD; therefore, the IHC-positive deer may
represent a locally contained infection that has not spread to other populations of white-tailed deer within the region.",,2005-2006,"Alabama, US",,,,,,,,,,,,
